Player_Name,Season,Total_Minutes,FG,FGA,FT,FTA,TRB,AST,PTS,PTOV,SFD,PGA,AND1,PER,TS%,USG%,WS,BPM,VORP,ORtg
Ochai Agbaji  ,2023,0.344957265,0.2232142857,0.25,0.09183673469,0.09756097561,0.108974359,0.09401709402,0.2097264438,0.06172839506,0.08311688312,0.08071979434,0.0380952381,0.1807228916,0.6417525773,0.2013888889,0.1837837838,0.3157894737,0.1666666667,0.5294117647
Alexis Ajinça  ,2017,0.1312820513,0.1785714286,0.1666666667,0.07142857143,0.08130081301,0.2628205128,0.02564102564,0.1306990881,0.02880658436,0.05714285714,0.01285347044,0.06666666667,0.3172690763,0.5592783505,0.25,0.1675675676,0.3,0.1764705882,0.3235294118
Alexis Ajinça  ,2016,0.225982906,0.1964285714,0.1973684211,0.09183673469,0.08943089431,0.2692307692,0.04273504274,0.1519756839,0.05349794239,0.07532467532,0.03856041131,0.05714285714,0.3534136546,0.5206185567,0.3611111111,0.1675675676,0.2631578947,0.1568627451,0.3088235294
Alexis Ajinça  ,2015,0.2588034188,0.2142857143,0.1754385965,0.1224489796,0.1219512195,0.2692307692,0.05982905983,0.1671732523,0.05349794239,0.1142857143,0.05038560411,0.06666666667,0.5983935743,0.7293814433,0.3854166667,0.2864864865,0.4578947368,0.2352941176,0.5
Alexis Ajinça  ,2014,0.2567521368,0.1875,0.1578947368,0.1020408163,0.09756097561,0.2884615385,0.05982905983,0.1489361702,0.0658436214,0.08051948052,0.0442159383,0.06666666667,0.3855421687,0.7139175258,0.21875,0.227027027,0.3368421053,0.1862745098,0.4558823529
Santi Aldama  ,2024,0.4847863248,0.3303571429,0.3728070175,0.09183673469,0.1138211382,0.3461538462,0.1965811966,0.2948328267,0.1440329218,0.1064935065,0.1748071979,0.1523809524,0.3253012048,0.5850515464,0.2743055556,0.2432432432,0.4631578947,0.2647058824,0.4411764706
Santi Aldama  ,2023,0.5066666667,0.2589285714,0.2631578947,0.1428571429,0.1544715447,0.2820512821,0.1111111111,0.2431610942,0.07818930041,0.1246753247,0.1177377892,0.1142857143,0.3574297189,0.7190721649,0.2083333333,0.3621621622,0.5,0.3039215686,0.6029411765
Santi Aldama  ,2022,0.0547008547,0.125,0.1447368421,0.0612244898,0.08130081301,0.1474358974,0.05982905983,0.09422492401,0.02880658436,0.04155844156,0.02879177378,0.04761904762,0.2088353414,0.3608247423,0.2916666667,0.1297297297,0.1736842105,0.1666666667,0.3235294118
Cole Aldrich  ,2016,0.2051282051,0.1696428571,0.1315789474,0.1020408163,0.1138211382,0.2820512821,0.06837606838,0.1367781155,0.08230452675,0.1038961039,0.06323907455,0.05714285714,0.6546184739,0.8092783505,0.2916666667,0.3027027027,0.6,0.2843137255,0.5
Cole Aldrich  ,2015,0.2652991453,0.1875,0.1798245614,0.08163265306,0.08130081301,0.3269230769,0.1025641026,0.1367781155,0.1358024691,0.07792207792,0.08329048843,0.07619047619,0.5261044177,0.5180412371,0.2881944444,0.2324324324,0.4894736842,0.2549019608,0.3676470588
Cole Aldrich  ,2014,0.04444444444,0.03571428571,0.02192982456,0.0612244898,0.05691056911,0.1538461538,0.02564102564,0.03039513678,0.01234567901,0.03376623377,0.01593830334,0.01904761905,0.5662650602,0.793814433,0.1041666667,0.1783783784,0.5526315789,0.2254901961,0.6029411765
LaMarcus Aldridge  ,2022,0.2905982906,0.4553571429,0.3903508772,0.193877551,0.1788617886,0.3269230769,0.07692307692,0.3617021277,0.04938271605,0.1454545455,0.05552699229,0.2095238095,0.5863453815,0.7525773196,0.4305555556,0.2810810811,0.5105263158,0.2647058824,0.5882352941
LaMarcus Aldridge  ,2021,0.1620512821,0.4553571429,0.4649122807,0.1632653061,0.1463414634,0.2628205128,0.1623931624,0.3799392097,0.05349794239,0.05974025974,0.06272493573,0.01904761905,0.4297188755,0.6288659794,0.4236111111,0.172972973,0.4578947368,0.2254901961,0.4411764706
LaMarcus Aldridge  ,2020,0.5312820513,0.6339285714,0.6228070175,0.306122449,0.2926829268,0.4487179487,0.2051282051,0.5440729483,0.05349794239,0.2155844156,0.157840617,0.219047619,0.5903614458,0.6675257732,0.4652777778,0.3567567568,0.5473684211,0.3431372549,0.5294117647
LaMarcus Aldridge  ,2019,0.8502564103,0.7232142857,0.6798245614,0.4387755102,0.4146341463,0.5641025641,0.2051282051,0.6170212766,0.1152263374,0.4753246753,0.2349614396,0.4666666667,0.718875502,0.6804123711,0.5868055556,0.6162162162,0.5684210526,0.4509803922,0.5588235294
LaMarcus Aldridge  ,2018,0.7894017094,0.7946428571,0.7543859649,0.4591836735,0.4308943089,0.5192307692,0.1709401709,0.6717325228,0.1399176955,0.4805194805,0.1907455013,0.5047619048,0.8032128514,0.6649484536,0.6631944444,0.7027027027,0.6789473684,0.5588235294,0.5735294118
LaMarcus Aldridge  ,2017,0.7299145299,0.5892857143,0.6052631579,0.3163265306,0.3089430894,0.4423076923,0.1623931624,0.4954407295,0.1358024691,0.2909090909,0.1763496144,0.1619047619,0.546184739,0.5670103093,0.5034722222,0.5027027027,0.5157894737,0.362745098,0.4705882353
LaMarcus Aldridge  ,2016,0.7046153846,0.6160714286,0.5833333333,0.3571428571,0.3333333333,0.5192307692,0.1282051282,0.5167173252,0.1399176955,0.3792207792,0.1331619537,0.2571428571,0.6987951807,0.6520618557,0.5520833333,0.6594594595,0.5947368421,0.4411764706,0.5147058824
LaMarcus Aldridge  ,2015,0.7904273504,0.8035714286,0.8377192982,0.4387755102,0.4146341463,0.6282051282,0.1452991453,0.6808510638,0.1358024691,0.4285714286,0.1573264781,0.3428571429,0.7148594378,0.5567010309,0.7013888889,0.5783783784,0.6263157895,0.5,0.4264705882
LaMarcus Aldridge  ,2014,0.7856410256,0.8125,0.8684210526,0.4387755102,0.4227642276,0.6858974359,0.2222222222,0.6747720365,0.1358024691,0.4103896104,0.228277635,0.3714285714,0.6746987952,0.5025773196,0.6875,0.5189189189,0.5947368421,0.4607843137,0.4264705882
Nickeil Alexander-Walker  ,2024,0.5883760684,0.2321428571,0.2543859649,0.0612244898,0.06504065041,0.1025641026,0.2136752137,0.2127659574,0.2098765432,0.06233766234,0.2539845758,0.0380952381,0.2369477912,0.6855670103,0.1666666667,0.3459459459,0.4842105263,0.3039215686,0.5294117647
Nickeil Alexander-Walker  ,2023,0.2338461538,0.1696428571,0.1842105263,0.07142857143,0.08130081301,0.08333333333,0.1538461538,0.1580547112,0.1563786008,0.06493506494,0.1336760925,0.05714285714,0.265060241,0.6520618557,0.2743055556,0.172972973,0.4263157895,0.2156862745,0.4411764706
Nickeil Alexander-Walker  ,2022,0.4328205128,0.3214285714,0.4254385965,0.1224489796,0.1382113821,0.1602564103,0.2051282051,0.2917933131,0.2592592593,0.1220779221,0.1907455013,0.06666666667,0.2208835341,0.4201030928,0.4895833333,0.1189189189,0.3210526316,0.1666666667,0.2794117647
Nickeil Alexander-Walker  ,2021,0.2758974359,0.3482142857,0.4035087719,0.1020408163,0.1138211382,0.1730769231,0.188034188,0.3039513678,0.1687242798,0.07532467532,0.1187660668,0.08571428571,0.3012048193,0.5412371134,0.4583333333,0.1513513514,0.4052631579,0.2156862745,0.3235294118
Nickeil Alexander-Walker  ,2020,0.1336752137,0.1607142857,0.2149122807,0.05102040816,0.06504065041,0.08974358974,0.1623931624,0.1428571429,0.1563786008,0.04935064935,0.106940874,0.02857142857,0.156626506,0.4149484536,0.4618055556,0.1027027027,0.2315789474,0.1568627451,0.2058823529
Grayson Allen  ,2024,0.7907692308,0.375,0.3640350877,0.1734693878,0.162601626,0.2243589744,0.2564102564,0.3799392097,0.2304526749,0.1636363636,0.2796915167,0.1428571429,0.3534136546,0.9458762887,0.15625,0.4864864865,0.5421052632,0.3921568627,0.75
Grayson Allen  ,2023,0.6058119658,0.2767857143,0.3026315789,0.1632653061,0.1463414634,0.1858974359,0.1965811966,0.2857142857,0.2016460905,0.1142857143,0.2092544987,0.06666666667,0.2931726908,0.7731958763,0.1597222222,0.3891891892,0.4789473684,0.2941176471,0.6470588235
Grayson Allen  ,2022,0.5487179487,0.3214285714,0.3421052632,0.1020408163,0.08943089431,0.1923076923,0.1282051282,0.3069908815,0.1111111111,0.07792207792,0.1233933162,0.05714285714,0.3092369478,0.7654639175,0.1805555556,0.3405405405,0.4947368421,0.3039215686,0.6323529412
Grayson Allen  ,2021,0.3620512821,0.2857142857,0.3289473684,0.1632653061,0.1463414634,0.1794871795,0.188034188,0.2917933131,0.1193415638,0.07272727273,0.1316195373,0.04761904762,0.313253012,0.706185567,0.2361111111,0.2594594595,0.4631578947,0.2549019608,0.5441176471
Grayson Allen  ,2020,0.1770940171,0.25,0.2543859649,0.1020408163,0.09756097561,0.1153846154,0.1196581197,0.2340425532,0.07818930041,0.04935064935,0.06426735219,0.0380952381,0.281124498,0.7654639175,0.2638888889,0.1783783784,0.4052631579,0.2058823529,0.5147058824
Grayson Allen  ,2019,0.07384615385,0.1339285714,0.1710526316,0.1224489796,0.1300813008,0.01282051282,0.05982905983,0.1398176292,0.04938271605,0.05194805195,0.02879177378,0.02857142857,0.1004016064,0.5257731959,0.5,0.1135135135,0.1421052632,0.1470588235,0.2352941176
Jarrett Allen  ,2024,0.7664957265,0.5714285714,0.4298245614,0.306122449,0.3333333333,0.6474358974,0.2307692308,0.4711246201,0.2757201646,0.3688311688,0.2555269923,0.2952380952,0.6746987952,0.9072164948,0.3263888889,0.6918918919,0.6315789474,0.5,0.7647058824
Jarrett Allen  ,2023,0.6905982906,0.5,0.3684210526,0.2448979592,0.2682926829,0.6025641026,0.1452991453,0.4042553191,0.1687242798,0.2597402597,0.1383033419,0.1904761905,0.5983935743,0.9226804124,0.2222222222,0.627027027,0.6,0.431372549,0.7794117647
Jarrett Allen  ,2022,0.5504273504,0.5625,0.3903508772,0.2959183673,0.3414634146,0.6666666667,0.1367521368,0.4589665653,0.1481481481,0.2909090909,0.1115681234,0.3047619048,0.7228915663,0.9948453608,0.28125,0.572972973,0.6789473684,0.4607843137,0.7794117647
Jarrett Allen  ,2021,0.5688888889,0.3928571429,0.3026315789,0.3265306122,0.3739837398,0.6153846154,0.1452991453,0.358662614,0.1934156379,0.3298701299,0.1305912596,0.2476190476,0.6064257028,0.8994845361,0.2291666667,0.4594594595,0.5315789474,0.3333333333,0.7058823529
Jarrett Allen  ,2020,0.5647863248,0.3571428571,0.2543859649,0.2448979592,0.3170731707,0.5897435897,0.1367521368,0.3069908815,0.08230452675,0.2935064935,0.1367609254,0.2952380952,0.6305220884,0.9072164948,0.1701388889,0.5567567568,0.5947368421,0.3921568627,0.7794117647
